precision,recall,f1,hashcode
0.888287604,0.86910814,0.878593266,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.909035802,0.89164418,0.900256038,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.896108031,0.880539477,0.888255537,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.894708276,0.887450576,0.891064644,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.902885735,0.901575923,0.902230322,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.87992841,0.893363535,0.88659513,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.874005795,0.890678883,0.882263541,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.909272075,0.901218057,0.905227125,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.890712678,0.895079613,0.892890751,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.902099013,0.899991155,0.901043832,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.919192791,0.908300698,0.913714349,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.883060157,0.894340754,0.888664663,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.84080869,0.889759064,0.864591599,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.855292618,0.861616075,0.858442724,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.860476196,0.864274144,0.862371027,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.911486983,0.944457531,0.92767942,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.893428802,0.91771847,0.905410826,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.881097555,0.916715086,0.898553491,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.925252497,0.95279783,0.938823164,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.927584291,0.952999175,0.940119982,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.888436913,0.916063905,0.902038932,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.940817714,0.957545638,0.949108005,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.880760252,0.911812842,0.896017551,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.879693866,0.907016397,0.893146217,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.848380923,0.860789061,0.854539931,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.863102257,0.878333509,0.870651245,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.912846506,0.938453197,0.925472736,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.854089916,0.873470366,0.863671422,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.907930374,0.899096251,0.903491676,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.866512418,0.877959132,0.872198224,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.893708527,0.905728936,0.899678528,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.86807549,0.867739737,0.867907524,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.9217152,0.913572609,0.917625844,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.939201355,0.937777162,0.938488722,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.943394899,0.943252444,0.943323672,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.824793756,0.838393271,0.831537962,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.824259937,0.839944243,0.83202821,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.823429227,0.838449538,0.830871522,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.979778588,0.942662656,0.960862339,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.903707504,0.896510541,0.900094569,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.978919506,0.960543156,0.969644308,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.873286605,0.846987367,0.859935939,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.868620992,0.880522966,0.874531448,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.880138636,0.874571979,0.877346456,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.904267013,0.895047665,0.899633646,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.883417964,0.866353691,0.874802649,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.884307027,0.863915145,0.873992205,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.870523334,0.878213048,0.874351323,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.877757907,0.863378942,0.870509088,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.877408683,0.875580072,0.876493394,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.869566083,0.865678668,0.867618024,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.877267301,0.875356615,0.876310945,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.909785926,0.915999174,0.91288197,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.883150518,0.889834106,0.886479676,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.86961937,0.869607806,0.869613588,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.900245368,0.905748308,0.902988434,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.892165184,0.848154187,0.869603217,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.904407263,0.866460621,0.885027409,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.897444844,0.880747557,0.88901782,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.882930636,0.878117561,0.880517542,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.88077414,0.877899349,0.87933439,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.889990211,0.898469687,0.894209802,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.893350124,0.890918136,0.892132461,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.881703079,0.896249771,0.88891685,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.888997257,0.882649899,0.885812163,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.911322653,0.878237545,0.894474268,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.896326363,0.878718972,0.887435317,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.886436453,0.886497095,0.886384568,
